date,name,value
1924-01-01,Chaleur à distance,0
1924-01-01,Déchets industriels,0
1924-01-01,Carburants biogènes,0
1924-01-01,Biogaz,0
1924-01-01,Soleil,0
1924-01-01,Chaleur ambiante,0
1925-01-01,Combustibles,1560
1925-01-01,Carburants,2920
1925-01-01,Electricité,10330
1925-01-01,Gaz,2570
1925-01-01,Charbon,72650
1925-01-01,Energie du bois,19930
1925-01-01,Chaleur à distance,0
1925-01-01,Déchets industriels,0
1925-01-01,Carburants biogènes,0
1925-01-01,Biogaz,0
1925-01-01,Soleil,0
1925-01-01,Chaleur ambiante,0
1926-01-01,Combustibles,1760
1926-01-01,Carburants,3190
1926-01-01,Electricité,10870
1926-01-01,Gaz,2720
1926-01-01,Charbon,71980
1926-01-01,Energie du bois,20010
1926-01-01,Chaleur à distance,0
1926-01-01,Déchets industriels,0
1926-01-01,Carburants biogènes,0
1926-01-01,Biogaz,0
1926-01-01,Soleil,0
1926-01-01,Chaleur ambiante,0
1927-01-01,Combustibles,2010
1927-01-01,Carburants,3980
1927-01-01,Electricité,11560
1927-01-01,Gaz,2900
1927-01-01,Charbon,81560
1927-01-01,Energie du bois,19110
1927-01-01,Chaleur à distance,0
1927-01-01,Déchets industriels,0
1927-01-01,Carburants biogènes,0
1927-01-01,Biogaz,0
1927-01-01,Soleil,0
1927-01-01,Chaleur ambiante,0
1928-01-01,Combustibles,2370
1928-01-01,Carburants,4950
1928-01-01,Electricité,12240
1928-01-01,Gaz,3100
1928-01-01,Charbon,80710
1928-01-01,Energie du bois,19420
1928-01-01,Chaleur à distance,0
1928-01-01,Déchets industriels,0
1928-01-01,Carburants biogènes,0
1928-01-01,Biogaz,0
1928-01-01,Soleil,0
1928-01-01,Chaleur ambiante,0
1929-01-01,Combustibles,2980
1929-01-01,Carburants,5860
1929-01-01,Electricité,13050
1929-01-01,Gaz,3330
1929-01-01,Charbon,94010
1929-01-01,Energie du bois,20060
1929-01-01,Chaleur à distance,0
1929-01-01,Déchets industriels,0
1929-01-01,Carburants biogènes,0
1929-01-01,Biogaz,0
1929-01-01,Soleil,0
1929-01-01,Chaleur ambiante,0
1930-01-01,Combustibles,3310
1930-01-01,Carburants,6690
1930-01-01,Electricité,12830
1930-01-01,Gaz,3470
1930-01-01,Charbon,84870
1930-01-01,Energie du bois,19310
1930-01-01,Chaleur à distance,0
1930-01-01,Déchets industriels,0
1930-01-01,Carburants biogènes,0
1930-01-01,Biogaz,0
1930-01-01,Soleil,0
1930-01-01,Chaleur ambiante,0
1931-01-01,Combustibles,3880
1931-01-01,Carburants,7730
1931-01-01,Electricité,12070
1931-01-01,Gaz,3640
1931-01-01,Charbon,87290
1931-01-01,Energie du bois,20390
1931-01-01,Chaleur à distance,0
1931-01-01,Déchets industriels,0
1931-01-01,Carburants biogènes,0
1931-01-01,Biogaz,0
1931-01-01,Soleil,0
1931-01-01,Chaleur ambiante,0
1932-01-01,Combustibles,5170
1932-01-01,Carburants,8770
1932-01-01,Electricité,11550
1932-01-01,Gaz,3800
1932-01-01,Charbon,86080
1932-01-01,Energie du bois,19260
1932-01-01,Chaleur à distance,0
1932-01-01,Déchets industriels,0
1932-01-01,Carburants biogènes,0
1932-01-01,Biogaz,0
1932-01-01,Soleil,0
1932-01-01,Chaleur ambiante,0
1933-01-01,Combustibles,6070
1933-01-01,Carburants,8470
1933-01-01,Electricité,12270
1933-01-01,Gaz,3820
1933-01-01,Charbon,81390
1933-01-01,Energie du bois,19000
1933-01-01,Chaleur à distance,0
1933-01-01,Déchets industriels,0
1933-01-01,Carburants biogènes,0
1933-01-01,Biogaz,0
1933-01-01,Soleil,0
1933-01-01,Chaleur ambiante,0
1934-01-01,Combustibles,6430
1934-01-01,Carburants,9510
1934-01-01,Electricité,12800
1934-01-01,Gaz,3880
1934-01-01,Charbon,80970
1934-01-01,Energie du bois,19060
1934-01-01,Chaleur à distance,0
1934-01-01,Déchets industriels,0
1934-01-01,Carburants biogènes,0
1934-01-01,Biogaz,0
1934-01-01,Soleil,0
1934-01-01,Chaleur ambiante,0
1935-01-01,Combustibles,6760
1935-01-01,Carburants,9290
1935-01-01,Electricité,13530
1935-01-01,Gaz,3870
1935-01-01,Charbon,79800
1935-01-01,Energie du bois,19830
1935-01-01,Chaleur à distance,0
1935-01-01,Déchets industriels,0
1935-01-01,Carburants biogènes,0
1935-01-01,Biogaz,0
1935-01-01,Soleil,0
1935-01-01,Chaleur ambiante,0
1936-01-01,Combustibles,6970
1936-01-01,Carburants,8520
1936-01-01,Electricité,14460
1936-01-01,Gaz,3850
1936-01-01,Charbon,82030
1936-01-01,Energie du bois,18100
1936-01-01,Chaleur à distance,0
1936-01-01,Déchets industriels,0
1936-01-01,Carburants biogènes,0
1936-01-01,Biogaz,0
1936-01-01,Soleil,0
1936-01-01,Chaleur ambiante,0
1937-01-01,Combustibles,6450
1937-01-01,Carburants,8660
1937-01-01,Electricité,16960
1937-01-01,Gaz,3920
1937-01-01,Charbon,85220
1937-01-01,Energie du bois,18020
1937-01-01,Chaleur à distance,0
1937-01-01,Déchets industriels,0
1937-01-01,Carburants biogènes,0
1937-01-01,Biogaz,0
1937-01-01,Soleil,0
1937-01-01,Chaleur ambiante,0
1938-01-01,Combustibles,6770
1938-01-01,Carburants,9150
1938-01-01,Electricité,16900
1938-01-01,Gaz,4020
1938-01-01,Charbon,85190
1938-01-01,Energie du bois,17950
1938-01-01,Chaleur à distance,0
1938-01-01,Déchets industriels,0
1938-01-01,Carburants biogènes,0
1938-01-01,Biogaz,0
1938-01-01,Soleil,0
1938-01-01,Chaleur ambiante,0
1939-01-01,Combustibles,7700
1939-01-01,Carburants,8640
1939-01-01,Electricité,18390
1939-01-01,Gaz,4020
1939-01-01,Charbon,86450
1939-01-01,Energie du bois,18160
1939-01-01,Chaleur à distance,0
1939-01-01,Déchets industriels,0
1939-01-01,Carburants biogènes,0
1939-01-01,Biogaz,0
1939-01-01,Soleil,0
1939-01-01,Chaleur ambiante,0
1940-01-01,Combustibles,4800
1940-01-01,Carburants,5760
1940-01-01,Electricité,19630
1940-01-01,Gaz,4240
1940-01-01,Charbon,70500
1940-01-01,Energie du bois,23120
1940-01-01,Chaleur à distance,0
1940-01-01,Déchets industriels,0
1940-01-01,Carburants biogènes,0
1940-01-01,Biogaz,0
1940-01-01,Soleil,0
1940-01-01,Chaleur ambiante,0
1941-01-01,Combustibles,1940
1941-01-01,Carburants,2140
1941-01-01,Electricité,20570
1941-01-01,Gaz,3490
1941-01-01,Charbon,62460
1941-01-01,Energie du bois,31270
1941-01-01,Chaleur à distance,0
1941-01-01,Déchets industriels,0
1941-01-01,Carburants biogènes,0
1941-01-01,Biogaz,0
1941-01-01,Soleil,0
1941-01-01,Chaleur ambiante,0
1942-01-01,Combustibles,1510
1942-01-01,Carburants,1480
1942-01-01,Electricité,20490
1942-01-01,Gaz,3390
1942-01-01,Charbon,58460
1942-01-01,Energie du bois,30830
1942-01-01,Chaleur à distance,0
1942-01-01,Déchets industriels,0
1942-01-01,Carburants biogènes,0
1942-01-01,Biogaz,0
1942-01-01,Soleil,0
1942-01-01,Chaleur ambiante,0
1943-01-01,Combustibles,1320
1943-01-01,Carburants,1280
1943-01-01,Electricité,22450
1943-01-01,Gaz,3350
